"State_FIPS_Code","County_FIPS_Code","CHSI_County_Name","CHSI_State_Name","CHSI_State_Abbr","Strata_ID_Number","No_Exercise","CI_Min_No_Exercise","CI_Max_No_Exercise","Few_Fruit_Veg","CI_Min_Fruit_Veg","CI_Max_Fruit_Veg","Obesity","Relative_Obesity","Obesity_Indicator","CI_Min_Obesity","CI_Max_Obesity","CI_Length_Obesity","Relative_CI_Length_Obesity","High_Blood_Pres","CI_Min_High_Blood_Pres","CI_Max_High_Blood_Pres","Smoker","CI_Min_Smoker","CI_Max_Smoker","Diabetes","CI_Min_Diabetes","CI_Max_Diabetes","Uninsured","Elderly_Medicare","Disabled_Medicare","Elderly_Disabled_Medicare_Ratio","Prim_Care_Phys_Rate","Prim_Care_Phys_PCT","Dentist_Rate","Community_Health_Center_Ind","HPSA_Ind"
"01","091","Marengo","Alabama","AL","67","","","","","","","","","","","","","","","","","15.6","6.2","25","11.3","4.6","18.1","4074","2816","862","3.2668213457076565","54.8","0.054799999999999995","13.7","1","2"
"01","093","Marion","Alabama","AL","49","","","","84.8","76.9","92.7","30.9","1.2797580583587393","1","21.8","40","18.2","1.5685581532332784","","","","","","","10.1","4.8","15.4","5205","4619","1284","3.5973520249221185","53.1","0.0531","26.5","2","2"
"01","095","Marshall","Alabama","AL","22","34.8","29.2","40.5","82.1","76.6","87.6","27.5","1.1389432558208845","1","21.6","33.4","11.799999999999997","1.0169772641842132","36.8","28.8","44.7","31.6","26","37.2","7.2","4.3","10.1","14593","12686","3083","4.114823224132339","63.1","0.0631","33.9","2","2"
"01","097","Mobile","Alabama","AL","5","30.8","28.1","33.5","76.2","72.7","79.7","26.6","1.1016687492667465","1","24","29.1","5.100000000000001","0.43954102096097375","27.2","23.6","30.8","25.1","22.5","27.7","6.6","5.3","7.9","65687","47123","12197","3.863491022382553","95.4","0.09540000000000001","38.4","1","2"
"01","099","Monroe","Alabama","AL","67","","","","","","","","","","","","","","","","","","","","8.1","2.8","13.3","4269","3035","889","3.4139482564679415","50.6","0.0506","29.5","1","2"
"01","101","Montgomery","Alabama","AL","7","28.2","24.6","31.9","75.6","70.7","80.5","23.9","0.9898452296043323","0","20.5","27.2","6.699999999999999","0.5774362432232398","27.8","22.8","32.7","20.7","17.4","24","8.5","6.7","10.3","32259","25495","6378","3.99733458764503","107.4","0.10740000000000001","49.2","1","2"
"01","103","Morgan","Alabama","AL","14","23.4","18.8","27.9","74.5","67.7","81.4","22.5","0.9318626638534511","0","17.6","27.4","9.799999999999997","0.8446082363563804","32.7","24.7","40.7","28.9","23.6","34.2","6.7","4.3","9.1","16097","14763","3367","4.384615384615385","76.5","0.0765","41.3","1","2"
"01","105","Perry","Alabama","AL","75","","","","","","","","","","","","","","","","","","","","","","","2776","1538","487","3.158110882956879","35.2","0.0352","26.4","1","1"
"01","107","Pickens","Alabama","AL","76","","","","","","","","","","","","","","","","","15.2","7.6","22.7","12.8","4.8","20.9","3606","3147","929","3.38751345532831","49.6","0.0496","9.9","2","1"
"01","109","Pike","Alabama","AL","35","24.2","16.6","31.7","","","","29.1","1.2052090452504634","1","20.2","37.9","17.7","1.5254658962763201","","","","16.5","9","24","11.3","5.7","16.9","5696","3917","1180","3.3194915254237287","57.4","0.0574","27","1","2"
