State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,Relative_Obesity,Obesity_Indicator,CI_Min_Obesity,CI_Max_Obesity,CI_Length_Obesity,Relative_CI_Length_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Elderly_Disabled_Medicare_Ratio,Prim_Care_Phys_Rate,Prim_Care_Phys_PCT,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
51,730,Petersburg City,Virginia,VA,32,31.8,22.9,40.7,80.2,71.7,88.7,37.4,1.548962828,1,28.3,46.6,18.3,1.577176605,31.6,22.7,40.6,26,18.1,33.9,9.7,4.6,14.7,5890,6180,1736,3.559907834,92,0.092,76.7,1,2
51,735,Poquoson City,Virginia,VA,37,,,,,,,,,,,,,,,,,,,,,,,883,780,44,17.72727273,59.3,0.0593,59.3,2,2
51,740,Portsmouth City,Virginia,VA,6,31,25.8,36.2,78,71.9,84.1,30.7,1.271474835,1,25.6,35.7,10.1,0.870463591,27.1,22.2,32.1,22.4,17.6,27.2,12,8.4,15.5,15188,12997,2745,4.734790528,68.9,0.0689,43.9,1,2
51,750,Radford City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,8.7,0.1,17.4,1386,1878,340,5.523529412,171.5,0.1715,54.9,2,2
51,760,Richmond City,Virginia,VA,7,26,22,30,69.6,64.3,74.9,24.8,1.027119736,1,20.9,28.6,7.7,0.663620757,26.6,22.1,31,26,21.4,30.6,8.2,6.2,10.3,32762,29914,6521,4.587333231,133.1,0.1331,78.4,1,2
51,770,Roanoke City,Virginia,VA,24,30.1,25.7,34.5,77.8,72.8,82.8,21,0.869738486,0,17.5,24.5,7,0.603291597,28.1,23.5,32.7,29.4,24.7,34.2,8.7,6.1,11.3,13355,19656,4234,4.642418517,163,0.163,52.9,2,2
51,775,Salem City,Virginia,VA,37,25.6,15.7,35.4,,,,23.7,0.981562006,0,14.3,33.1,18.8,1.620268862,19.7,10.9,28.6,,,,6.9,2.3,11.6,1275,5597,915,6.116939891,170.4,0.1704,105.5,2,2
51,790,Staunton City,Virginia,VA,40,20.7,11.3,30.1,,,,,,,,,,,,,,,,,8.4,1.3,15.5,2225,5684,1073,5.297297297,102.8,0.1028,94.3,2,2
51,800,Suffolk City,Virginia,VA,23,25.8,20,31.6,80.4,74.5,86.4,26.1,1.08096069,1,20.5,31.7,11.2,0.965266556,27,21.3,32.8,17.7,13.1,22.3,6.9,3.9,9.8,8171,7638,2068,3.693423598,108.9,0.1089,25.3,1,2
51,810,Virginia Beach City,Virginia,VA,10,19.8,16.7,23,75.3,70.9,79.8,19.5,0.807614309,0,16.5,22.6,6.1,0.525725535,20.6,17.4,23.7,21.5,18.2,24.7,5.1,3.6,6.5,52101,37466,5594,6.697533071,86.7,0.0867,58.6,2,2
